Nome completo,Clube,UF,SVG,Medio,Grande,Feminino,Masculino,Libertadores (masculina),Info sobre alteração de nome,,,,,
Sociedade Imperatriz de Desportos,Imperatriz,MA,ma_imperatriz.svg,ma_imperatriz_512x512.png,ma_imperatriz_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Moto Club de São Luís,Moto Club,MA,ma_moto-club-sao-luis.svg,ma_moto-club-sao-luis_512x512.png,ma_moto-club-sao-luis_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Sampaio Corrêa Futebol Clube,Sampaio Corrêa,MA,ma_sampaio-correa.svg,ma_sampaio-correa_512x512.png,ma_sampaio-correa_3000x3000.png,Brasileiro série A3,Brasileiro série D,não participou,,,,,,
Associação Mineira de Desenvolvimento Humano (Betim),Betim,MG,mg_betim.svg,mg_betim_512x512.png,mg_betim_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Esporte Clube Democrata,Democrata,MG,mg_democrata-gv.svg,mg_democrata-gv_512x512.png,mg_democrata-gv_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Pouso Alegre Futebol Clube - Sociedade Anônima do Futebol,Pouso Alegre,MG,mg_pouso-alegre.svg,mg_pouso-alegre_512x512.png,mg_pouso-alegre_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Tombense Futebol Clube,Tombense,MG,mg_tombense.svg,mg_tombense_512x512.png,mg_tombense_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Uberlandia Esporte Clube S.a.f.,Uberlândia,MG,mg_uberlandia.svg,mg_uberlandia_512x512.png,mg_uberlandia_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Ivinhema Futebol Clube,Ivinhema,MS,ms_ivinhema.svg,ms_ivinhema_512x512.png,ms_ivinhema_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Operário Futebol Clube,Operário-MS,MS,ms_operario-ms.svg,ms_operario-ms_512x512.png,ms_operario-ms_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Luverdense Esporte Clube,Luverdense,MT,mt_luverdense.svg,mt_luverdense_512x512.png,mt_luverdense_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Mixto Esporte Clube,Mixto-MT,MT,mt_mixto.svg,mt_mixto_512x512.png,mt_mixto_3000x3000.png,Brasileiro série A1,Brasileiro série D,não participou,,,,,,
Primavera Atlético Clube Ltda.,Primavera,MT,mt_primavera.svg,mt_primavera_512x512.png,mt_primavera_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Uniao Esporte Clube de Rondonópolis,União Rondonópolis,MT,mt_uniao-rondonopolis.svg,mt_uniao-rondonopolis_512x512.png,mt_uniao-rondonopolis_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Clube Esportivo Operário Varzeagrandense,Operário VG,MT,mt_operario-varzea-grande.svg,mt_operario-varzea-grande_512x512.png,mt_operario-varzea-grande_3000x3000.png,não participou,Brasileiro série D,não participou,https://ge.globo.com/mt/futebol/noticia/2025/10/17/dois-clubes-de-mato-grosso-planejam-mudar-de-nome-e-identidade-a-partir-de-2026.ghtml,,,,,
Águia de Marabá Futebol Clube,Águia de Marabá,PA,pa_aguia-de-maraba.svg,pa_aguia-de-maraba_512x512.png,pa_aguia-de-maraba_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Tuna Luso Brasileira,Tuna Luso,PA,pa_tuna-luso.svg,pa_tuna-luso_512x512.png,pa_tuna-luso_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Paraiba Sport Clube (Serra Branca),Serra Branca,PB,pb_serra-branca.svg,pb_serra-branca_512x512.png,pb_serra-branca_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Sousa Esporte Clube,Sousa,PB,pb_sousa.svg,pb_sousa_512x512.png,pb_sousa_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Treze Futebol Clube,Treze,PB,pb_treze.svg,pb_treze_512x512.png,pb_treze_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Central Sport Club,Central de Caruaru,PE,pe_central-pe.svg,pe_central-pe_512x512.png,pe_central-pe_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Sociedade Esportiva Decisão Futebol Clube,Decisão,PE,pe_decisao.svg,pe_decisao_512x512.png,pe_decisao_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Associação Atlética Maguary,Maguary,PE,pe_maguary-pe.svg,pe_maguary-pe_512x512.png,pe_maguary-pe_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Retrô Futebol Clube Brasil,Retrô,PE,pe_retro.svg,pe_retro_512x512.png,pe_retro_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Associação Esportiva de Altos,Altos,PI,pi_altos.svg,pi_altos_512x512.png,pi_altos_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Fluminense Esporte Clube,Fluminense,PI,pi_fluminense-pi.svg,pi_fluminense-pi_512x512.png,pi_fluminense-pi_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
